win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
0,False,False,False,False,False,False,0,0,1.5156401160915833,3.9963669391462306,16.0,-1,-1,-2,-1
1,False,False,True,False,False,False,0,0,2.6659830812612153,2.5853154084798344,30.0,1,0,2,0
1,False,True,True,False,False,True,0,0,2.873204247345409,0.8883953359244863,34.0,1,0,0,2
1,True,True,True,False,True,False,0,0,4.765564950038432,0.7642563198118753,34.0,3,0,3,0
1,False,True,True,True,True,True,0,0,6.062624916722186,0.7497322384862549,35.0,1,1,3,2
0,True,True,False,False,False,False,0,0,2.085118537560697,3.9388594944150497,25.0,-1,-1,0,-1
1,True,True,True,False,False,True,0,0,4.825291181364393,0.46118370484242893,26.0,1,0,-1,1
0,False,True,False,False,False,False,0,0,1.463057790782736,5.129913391072618,20.0,-1,-1,-2,-1
1,True,True,True,True,False,True,0,0,4.067562909341606,1.718213058419244,28.0,3,1,-2,2
1,True,True,True,True,True,True,0,0,6.548279689234184,1.3561741613133476,30.0,2,1,3,2
1,True,True,True,False,True,True,0,0,4.178019981834696,1.73217854763491,27.0,1,0,3,2
1,False,False,True,True,False,False,0,0,3.3029117774880485,1.4160766347355267,31.0,1,1,-1,0
0,True,True,True,False,True,True,0,0,2.2259950952650445,3.2322559146951013,29.0,0,0,1,0
0,True,False,False,False,False,True,0,0,1.999444598722577,3.051025775907417,20.0,-1,-1,-3,2
1,True,False,True,True,False,True,0,0,3.1695383960859393,1.9468560905024994,37.0,1,2,0,0
1,False,True,True,False,False,True,0,0,3.204939723610703,1.8564798286326312,29.0,1,-1,0,2
1,False,True,True,False,True,True,0,0,4.62211118051218,0.6663890045814244,22.0,1,0,2,2
0,False,False,False,False,False,False,0,0,1.1245314452311537,4.49438202247191,7.0,-1,0,-1,-1
1,True,True,True,False,False,True,0,0,3.5928143712574854,0.24937655860349128,28.0,1,0,0,1
0,False,False,False,False,False,False,0,0,0.9509875640087784,7.769145394006659,21.0,-1,-1,-2,-2
1,True,True,True,False,True,False,0,0,2.19560878243513,0.33222591362126247,26.0,1,0,1,0
1,False,True,True,True,False,True,0,0,4.497955474784189,1.285255265976437,33.0,1,1,1,2
1,False,True,True,False,False,True,0,0,5.210563882940757,0.9086778736937755,28.0,1,0,1,2
0,False,False,False,False,False,False,0,0,2.128345694937117,3.4261241970021414,25.0,-1,-1,-4,-2
0,True,False,False,False,False,False,0,0,1.5996445234392358,4.730179880079946,24.0,-2,-1,-5,-1
1,False,False,False,False,True,True,1,0,3.2492615314701205,1.499605367008682,32.0,0,-2,3,2
1,False,True,True,False,True,False,0,0,3.958416633346661,1.3139103113396173,34.0,2,0,-1,0
0,True,True,False,True,True,False,0,0,1.89952511872032,6.138472519628837,23.0,-1,0,-1,-1
0,True,False,False,False,False,False,0,0,1.6244923461418308,4.632152588555859,17.0,-1,0,-2,-1
0,False,True,False,False,True,True,0,0,1.6964556195092397,4.463690872751499,23.0,-1,-1,2,1
1,False,True,True,False,False,True,0,0,4.1088284286507495,1.1660188784008882,31.0,2,0,-2,1
0,False,False,False,False,False,False,0,0,1.2754222681833849,4.178019981834696,17.0,-1,0,-3,-2
0,True,False,False,False,True,False,0,0,2.1914648212226067,3.5803497085761866,19.0,-2,-1,-2,-1
0,True,False,False,False,False,False,0,0,1.999091322126306,2.7477102414654455,18.0,-4,-1,-3,-1
1,False,True,True,False,False,True,0,0,6.0587133041848835,0.7892659826361484,33.0,1,0,-1,1
1,True,True,True,True,False,True,0,0,3.258052573121066,1.7719218537028623,31.0,1,1,1,1
0,False,False,False,False,True,False,0,0,1.841620626151013,4.197201865423051,24.0,-2,-1,-2,-2
0,False,False,False,False,True,True,0,0,2.405498281786942,2.6986506746626686,28.0,-1,-1,-3,1
1,True,True,True,True,False,False,0,0,2.5826159400166624,3.4982508745627183,32.0,1,1,-4,-2
0,False,False,False,False,True,False,0,0,1.4266552859407389,3.8952085487762838,25.0,-3,-1,1,0
1,True,False,True,True,True,False,0,0,2.6719531115324946,1.8100327529736253,43.0,3,1,2,0
1,True,True,True,False,False,False,0,0,1.8838908112264512,1.5447523852794183,18.0,1,0,-1,0
1,True,False,True,True,True,False,1,0,2.9479620610099975,2.427704391288825,31.0,1,0,3,-2
1,False,True,False,True,False,True,0,0,3.3581133042809537,2.0316027088036117,36.0,0,0,1,1
0,False,False,False,False,True,False,0,0,1.3108198178182626,6.793206793206793,16.0,-1,-1,0,-2
0,True,False,False,False,True,True,0,0,1.9724398811132127,3.609106052193226,24.0,-2,0,1,1
1,True,True,True,True,True,True,0,0,2.8081865778200856,1.2603215993046502,34.0,1,1,2,1
1,False,False,True,False,False,True,0,0,2.9687973341411693,2.1145713187235677,32.0,1,-1,2,0
1,False,False,True,False,True,False,0,0,2.9729018679294925,2.378490175801448,38.0,1,1,0,-2
1,True,True,True,False,False,True,0,0,4.2675893886966545,1.6393442622950818,26.0,2,-1,0,2
0,False,False,False,False,False,False,0,0,1.8511662347278786,2.5316455696202533,21.0,-1,-1,-3,-2
0,True,False,False,False,False,True,0,0,1.7292623615239124,6.067094932191292,21.0,-1,-1,-2,1
1,False,True,True,True,True,True,0,0,3.132289236921026,2.7189124350259894,33.0,1,1,2,2
0,False,False,False,False,False,True,0,0,1.514692517418964,3.3977348434377084,23.0,-1,0,-3,1
0,False,True,False,False,True,True,0,0,2.4850042844901457,3.997648442092886,25.0,-2,-1,-2,0
1,True,True,True,True,False,True,0,0,3.0787684926029586,1.499375260308205,26.0,2,1,1,2
1,False,False,True,True,False,False,0,0,3.0182984342576873,3.0927835051546393,31.0,1,2,-1,-2
